epoch,i,tr_recon_loss,val_recon_loss,tr_total_loss,val_total_loss,tr_stimu_loss,val_stimu_loss
0,10,0.14140872210264205,0.13685761392116547,0.24932326674461364,0.23820585012435913,0.50112384557724,0.47468507289886475
0,20,0.05420282557606697,0.08614111691713333,0.12151025384664535,0.13513337075710297,0.2785609170794487,0.24944862723350525
0,30,0.03709572181105614,0.08508902788162231,0.06970278024673462,0.09068957716226578,0.14578591138124466,0.10375753045082092
0,40,0.03411713764071465,0.08168385922908783,0.05027613937854767,0.08005289733409882,0.08798047453165055,0.07624731957912445
0,50,0.05067787580192089,0.054245252162218094,0.06566522531211376,0.0631154254078865,0.10063570514321327,0.08381249010562897
0,60,0.036449901014566424,0.04470527917146683,0.046930911391973494,0.04755077883601189,0.07138660177588463,0.05419028177857399
1,10,0.029007171746343374,0.03325236588716507,0.040451385701696076,0.044404760003089905,0.06715455154577891,0.07042701542377472
1,20,0.02565026618540287,0.043621256947517395,0.03726002424955368,0.04198135435581207,0.06434945575892925,0.03815491870045662
1,30,0.022204243578016758,0.02779732272028923,0.0329993762075901,0.03384186699986458,0.05818801745772362,0.04794580489397049
1,40,0.021255085431039333,0.04986518248915672,0.029898368939757346,0.049498073756694794,0.05006602965295315,0.04864148050546646
1,50,0.047265328094363214,0.047047026455402374,0.06106837689876556,0.06402219831943512,0.09327548518776893,0.1036309227347374
1,60,0.037082995660603045,0.038466304540634155,0.051632149145007133,0.05371978133916855,0.08558017238974572,0.08931122720241547
2,10,0.025792965820680063,0.030457615852355957,0.03760011835644642,0.044457294046878815,0.06515014016379912,0.07712320983409882
2,20,0.02489312309771776,0.02669408544898033,0.040586677938699724,0.041284747421741486,0.07720496878027916,0.07532962411642075
2,30,0.01713134190067649,0.017959732562303543,0.03358658142387867,0.03732207044959068,0.0719821386039257,0.08250086009502411
2,40,0.02838084436953068,0.057378947734832764,0.036668276973068716,0.07178638875484467,0.05600561685860157,0.10540375113487244
2,50,0.021187697257846593,0.06213444471359253,0.032405052334070206,0.06641849130392075,0.0585788793861866,0.07641460001468658
2,60,0.021583049092441797,0.0651528388261795,0.028131763450801373,0.055143021047115326,0.043412096425890924,0.03178677707910538
3,10,0.023500204319134355,0.029796767979860306,0.03327079629525542,0.04177669808268547,0.056068843230605125,0.06972987204790115
3,20,0.02630310971289873,0.04307222738862038,0.034262945502996446,0.055392127484083176,0.052835896238684656,0.08413855731487274
